HPO编码,标准名称（英文）,定义（英文）,标准名称（中文）,定义（中文）
HP:0005901,obsolete Chronic recurrent multifocal osteomyelitis,,,
HP:0005921,obsolete Abnormal ossification of hand bones,,,
HP:0005952,obsolete Decreased pulmonary function,,,
HP:0005984,obsolete Elevated maternal serum alpha-fetoprotein,,,
HP:0006069,obsolete Severe carpal ossification delay,,,
HP:0006153,obsolete Disharmonious carpal bone,,,
HP:0006158,obsolete Finger joint hyperextensibility,,,
HP:0006187,obsolete Fusion of midphalangeal joints,,,
HP:0006504,obsolete Anomaly of the limb diaphyses morphology,,,
HP:0006525,obsolete Lung segmentation defects,,,
HP:0006541,obsolete Chronic obstructive airway disease from birth,,,
HP:0006830,obsolete Severe neonatal hypotonia in males,,,
HP:0006877,"obsolete Mental retardation, in some",,,
HP:0006893,obsolete Severely dysplastic cerebellum,,,
HP:0006901,obsolete Impaired thermal sensitivity,,,
HP:0006919,"obsolete Abnormal aggressive, impulsive or violent behavior",,,
HP:0006926,obsolete Metachromatic leukodystrophy variant,,,
HP:0006957,obsolete Loss of ability to walk,,,
HP:0006983,obsolete Slowly progressive spastic quadriparesis,,,
HP:0006984,obsolete Distal sensory loss of all modalities,,,
HP:0007081,obsolete Late-onset muscular dystrophy,,,
HP:0007087,obsolete Involuntary jerking movements,,,
HP:0007095,obsolete Frontoparietal polymicrogyria,,,
HP:0007163,obsolete Corticospinal tract disease in lower limbs,,,
HP:0007227,obsolete Macrogyria,,,
HP:0007314,obsolete White matter neuronal heterotopia,,,
HP:0007316,obsolete Involuntary writhing movements,,,
HP:0007409,"obsolete Absence of subcutaneous fat over entire body except buttocks, hips, and thighs",,,
HP:0007435,obsolete Diffuse palmoplantar keratoderma,,,
HP:0007436,obsolete Hair-nail ectodermal dysplasia,,,
HP:0007519,obsolete Lack of subcutaneous fatty tissue,,,
HP:0007548,obsolete Palmoplantar keratosis with erythema and scale,,,
HP:0007561,obsolete Telangiectases in sun-exposed and nonexposed skin,,,
HP:0007597,obsolete Congenital palmoplantar keratodermia,,,
HP:0007654,obsolete Retinal striation,,,
HP:0007659,obsolete Decreased retinal pigmentation with dispersion,,,
HP:0007691,obsolete Short curly eyelashes,,,
HP:0007692,obsolete Nonnuclear polymorphic congenital cataract,,,
HP:0007698,obsolete Retinal pigment epithelial atrophy,,,
HP:0007702,obsolete Pigmentary retinal deposits,,,
HP:0007712,obsolete Choroidal dystrophy,,,
HP:0007713,obsolete Juvenile zonular cataracts,,,
HP:0007736,obsolete Pericentral retinal dystrophy,,,
HP:0007739,obsolete Mildly reduced visual acuity,,,
HP:0007744,obsolete Iridoretinal coloboma,,,
HP:0007748,obsolete Irido-fundal coloboma,,,
HP:0007756,obsolete Slitlike anterior chamber angles in children,,,
HP:0007757,obsolete Hypoplasia of choroid,,,
HP:0007758,obsolete Congenital visual impairment,,,
HP:0007782,obsolete Peripheral retinal cone degeneration,,,
HP:0007783,obsolete Butterfly retinal pigment epithelial dystrophy,,,
HP:0007786,obsolete Lacunar retinal depigmentation,,,
HP:0007798,obsolete Foveal dystrophy,,,
HP:0007801,obsolete Fishnet retinal pigmentation,,,
HP:0007808,obsolete Bilateral retinal coloboma,,,
HP:0007810,obsolete Progressive bifocal chorioretinal atrophy,,,
HP:0007825,obsolete Cataracts develop in second or third decade,,,
HP:0007829,obsolete Diffuse retinal cone degeneration,,,
HP:0007851,obsolete Temporal displacement of maculae,,,
HP:0007852,obsolete Pericentral pigmentary retinopathy,,,
HP:0007868,obsolete Age-related macular degeneration,,,
HP:0007869,obsolete Peripheral retinopathy,,,
HP:0007876,obsolete Juvenile cortical cataract,,,
HP:0007893,obsolete Progressive retinal degeneration,,,
HP:0007901,obsolete Retinal malformation,,,
HP:0007910,obsolete Nonprogressive congenital retinal dystrophy,,,
HP:0007916,obsolete Small anterior lens surface opacities,,,
HP:0007920,obsolete Congenital chorioretinal dystrophy,,,
HP:0007923,obsolete Foveal hyperplasia,,,
HP:0007930,obsolete Prominent epicanthal folds,,,
HP:0007945,obsolete Choroidal degeneration,,,
