code,chinese_name,english_name
A32.81,眼腺體性李司特菌病,Oculoglandular listeriosis
A32.82,李司特菌性心內膜炎,Listerial endocarditis
A32.89,其他型李司特菌病,Other forms of listeriosis
A32.9,李司特菌病,"Listeriosis, unspecified"
A33,新生兒破傷風,Tetanus neonatorum
A34,產科破傷風,Obstetrical tetanus
A35,其他破傷風,Other tetanus
A36,白喉,Diphtheria
A36.0,咽白喉,Pharyngeal diphtheria
A36.1,鼻咽白喉,Nasopharyngeal diphtheria
A36.2,喉部白喉,Laryngeal diphtheria
A36.3,皮膚白喉,Cutaneous diphtheria
A36.8,其他白喉,Other diphtheria
A36.81,白喉性心肌病變,Diphtheritic cardiomyopathy
A36.82,白喉性脊髓神經炎,Diphtheritic radiculomyelitis
A36.83,白喉性多發神經炎,Diphtheritic polyneuritis
A36.84,白喉性腎小管間質腎病變,Diphtheritic tubulo-interstitial nephropathy
A36.85,白喉性膀胱炎,Diphtheritic cystitis
A36.86,白喉性結膜炎,Diphtheritic conjunctivitis
A36.89,白喉性其他併發症,Other diphtheritic complications
A36.9,白喉,"Diphtheria, unspecified"
A37,百日咳,Whooping cough
A37.0,百日咳球桿菌所致之百日咳,Whooping cough due to Bordetella pertussis
A37.00,百日咳球桿菌所致之百日咳未伴有肺炎,Whooping cough due to Bordetella pertussis without pneumonia
A37.01,百日咳球桿菌所致之百日咳伴有肺炎,Whooping cough due to Bordetella pertussis with pneumonia
A37.1,副百日咳球桿菌所致之百日咳,Whooping cough due to Bordetella parapertussis
A37.10,副百日咳球桿菌所致之百日咳未伴有肺炎,Whooping cough due to Bordetella parapertussis without pneumonia
A37.11,副百日咳球桿菌所致之百日咳伴有肺炎,Whooping cough due to Bordetella parapertussis with pneumonia
A37.8,其他球桿菌所致之百日咳,Whooping cough due to other Bordetella species
A37.80,其他博德氏桿菌所致之百日咳未伴有肺炎,Whooping cough due to other Bordetella species without pneumonia
A37.81,其他博德氏桿菌所致之百日咳伴有肺炎,Whooping cough due to other Bordetella species with pneumonia
A37.9,未明示病原體之百日咳,"Whooping cough, unspecified species"
A37.90,未明示病原體之百日咳未伴有肺炎,"Whooping cough, unspecified species without pneumonia"
A37.91,未明示病原體之百日咳伴有肺炎,"Whooping cough, unspecified species with pneumonia"
A38,猩紅熱,Scarlet fever
A38.0,猩紅熱伴有中耳炎,Scarlet fever with otitis media
A38.1,猩紅熱伴有心肌炎,Scarlet fever with myocarditis
A38.8,猩紅熱伴有其他伴有發症,Scarlet fever with other complications
A38.9,猩紅熱，無併發症,"Scarlet fever, uncomplicated"
A39,腦膜炎球菌感染,Meningococcal infection
A39.0,腦膜炎球菌性腦膜炎,Meningococcal meningitis
A39.1,Waterhouse-Friderichsen症候群,Waterhouse-Friderichsen syndrome
A39.2,急性腦膜炎球菌菌血症,Acute meningococcemia
A39.3,慢性腦膜炎球菌菌血症,Chronic meningococcemia
A39.4,腦膜炎球菌菌血症,"Meningococcemia, unspecified"
A39.5,腦膜炎球菌心臟病,Meningococcal heart disease
A39.50,腦膜炎球菌性心臟炎,"Meningococcal carditis, unspecified"
A39.51,腦膜炎球菌心內膜炎,Meningococcal endocarditis
A39.52,腦膜炎球菌心肌炎,Meningococcal myocarditis
A39.53,腦膜炎球菌心包膜炎,Meningococcal pericarditis
A39.8,其他腦膜炎球菌感染,Other meningococcal infections
A39.81,腦膜炎球菌性腦炎,Meningococcal encephalitis
A39.82,腦膜炎球菌性眼球後神經炎,Meningococcal retrobulbar neuritis
A39.83,腦膜炎球菌性關節炎,Meningococcal arthritis
A39.84,腦膜炎球菌感染後關節炎,Postmeningococcal arthritis
A39.89,其他腦膜炎球菌感染,Other meningococcal infections
A39.9,腦膜炎球菌感染症,"Meningococcal infection, unspecified"
A40,鏈球菌性敗血症,Streptococcal sepsis
A40.0,A型鏈球菌所致之敗血症,"Sepsis due to streptococcus, group A"
A40.1,B型鏈球菌所致之敗血症,"Sepsis due to streptococcus, group B"
A40.3,肺炎球菌所致之敗血症,Sepsis due to Streptococcus pneumoniae
A40.8,其他鏈球菌性敗血症,Other streptococcal sepsis
A40.9,鏈球菌性敗血症,"Streptococcal sepsis, unspecified"
A41,其他敗血症,Other sepsis
A41.0,金黃色葡萄球菌所致之敗血症,Sepsis due to Staphylococcus aureus
A41.01,甲氧西林敏感性金黃色葡萄球菌所致敗血症,Sepsis due to Methicillin susceptible Staphylococcus aureus
A41.02,抗甲氧西林（抗藥性）金黃色葡萄球菌所致敗血症,Sepsis due to Methicillin resistant Staphylococcus aureus
A41.1,其他特定葡萄球菌所致之敗血症,Sepsis due to other specified staphylococcus
A41.2,未明示之葡萄球菌所致之敗血症,Sepsis due to unspecified staphylococcus
A41.3,流行性感冒嗜血桿菌所致之敗血症,Sepsis due to Hemophilus influenzae
A41.4,厭氧菌所致之敗血症,Sepsis due to anaerobes
A41.5,其他革蘭氏陰性菌所致之敗血症,Sepsis due to other Gram-negative organisms
A41.50,革蘭氏陰性菌敗血症,"Gram-negative sepsis, unspecified"
A41.51,大腸桿菌性敗血症,Sepsis due to Escherichia coli [E. coli]
A41.52,綠膿桿菌所致之敗血症,Sepsis due to Pseudomonas
A41.53,Serratia氏桿菌所致之敗血症,Sepsis due to Serratia
A41.59,其他革蘭氏陰性菌敗血症,Other Gram-negative sepsis
A41.8,其他特定之敗血症,Other specified sepsis
A41.81,腸球菌所致之敗血症,Sepsis due to Enterococcus
A41.89,其他特定之敗血症,Other specified sepsis
A41.9,敗血症，未明示病原體,"Sepsis, unspecified organism"
A42,放線菌病,Actinomycosis
A42.0,肺放線菌病,Pulmonary actinomycosis
A42.1,腹腔放線菌病,Abdominal actinomycosis
A42.2,頸及顏面放線菌病,Cervicofacial actinomycosis
A42.7,放線菌性敗血症,Actinomycotic sepsis
A42.8,其他型放線菌病,Other forms of actinomycosis
A42.81,放線菌性腦膜炎,Actinomycotic meningitis
A42.82,放線菌性腦炎,Actinomycotic encephalitis
A42.89,其他型放線菌病,Other forms of actinomycosis
A42.9,放線菌病,"Actinomycosis, unspecified"
A43,諾卡菌病,Nocardiosis
A43.0,肺諾卡菌病,Pulmonary nocardiosis
A43.1,皮膚諾卡氏菌病,Cutaneous nocardiosis
A43.8,其他型諾卡菌病,Other forms of nocardiosis
A43.9,諾卡菌病,"Nocardiosis, unspecified"
A44,巴東蟲病,Bartonellosis
A44.0,全身性巴東蟲病,Systemic bartonellosis
A44.1,皮膚及皮膚黏膜巴東蟲病,Cutaneous and mucocutaneous bartonellosis
A44.8,其他型巴東蟲病,Other forms of bartonellosis
A44.9,巴東菌症,"Bartonellosis, unspecified"
A46,丹毒,Erysipelas
A48,其他細菌疾病，他處未歸類者,"Other bacterial diseases, not elsewhere classified"
A48.0,氣性壞疽,Gas gangrene
A48.1,退伍軍人症,Legionnaires' disease
